datetime,OC,EC,sulfate,nitrate,ammonia,chlorine,potassoium,Ca,Na,Mg,OC/EC,S/N,K/EC
12/2/2013,48.82,7.91,16.81,14.78,14.61,9.49,3.57,2.08,2.02,0.37,6.17193426,1.137347767,0.451327434
12/3/2013,57.61,7.97,24.13,37.4,25.01,10.56,4.47,1.63,2.73,0.37,7.228356336,0.645187166,0.560853199
12/4/2013,22.72,6.48,13.99,6.56,8.49,1.08,1.67,0.68,0.7,0.17,3.50617284,2.132621951,0.257716049
12/6/2013,27.25,6.98,22.9,9.81,15.16,4.39,2.81,0.75,1.34,0.22,3.904011461,2.334352701,0.402578797
12/8/2013,36.24,9.54,28.79,24.64,23.02,5.48,3.59,0.85,1.83,0.3,3.798742138,1.168425325,0.376310273
12/9/2013,26.29,6.34,33.48,16.19,22.18,1.46,2.84,0.57,0.84,0.26,4.146687697,2.067943175,0.447949527
12/10/2013,29.86,7.62,31.59,18.47,21.7,1.24,2.83,0.6,0.76,0.3,3.918635171,1.710341094,0.371391076
12/11/2013,20.74,6.91,21.53,12.09,15.12,0.47,1.82,0.54,0.42,0.21,3.001447178,1.780810587,0.263386397
12/12/2013,33.62,7,21.05,17.04,18.07,4.16,2.93,0.53,1.1,0.22,4.802857143,1.235328638,0.418571429
12/13/2013,19.14,6.49,16.53,10.57,13.71,2.55,2.01,0.14,0.73,0.11,2.949152542,1.563859981,0.309707242
12/22/2013,16.36,5.47,17.64,11.29,12.61,2.28,1.64,0.37,0.65,0.15,2.990859232,1.562444641,0.299817185
12/23/2013,16.27,6.19,15.9,11.89,11.92,2.55,1.77,0.36,0.82,0.12,2.628432956,1.3372582,0.285945073
12/24/2013,19.77,6.21,15.21,13.77,12.62,2.68,1.84,0.34,0.76,0.15,3.183574879,1.104575163,0.296296296
12/25/2013,21.19,5.93,18.84,17.42,15.72,2.81,2.13,0.37,0.93,0.19,3.573355818,1.081515499,0.359190556
12/26/2013,15.64,5.13,19.56,9.85,12.74,0.66,1.45,0.36,0.34,0.13,3.048732943,1.985786802,0.282651072
12/27/2013,24.92,7.08,31.21,24.77,23.02,0.95,2.47,0.42,0.65,0.3,3.519774011,1.259991926,0.348870056
12/28/2013,19.57,5.78,15.97,15.99,13.59,1.94,1.81,0.47,0.63,0.2,3.385813149,0.998749218,0.313148789
12/29/2013,30.94,6.55,13.31,17.09,13.61,11.64,3.53,1.13,1.83,0.23,4.723664122,0.778818022,0.538931298
12/30/2013,41.83,6.1,18.86,24.18,17.03,10.5,4.15,1.26,1.67,0.13,6.857377049,0.779983457,0.680327869
12/31/2013,47.04,5.65,23.66,22.57,18.63,12.36,4.6,1.36,2.04,0.13,8.325663717,1.048294196,0.814159292
1/1/2014,34.79,5.68,17.49,24.3,16.14,2.99,2.79,0.73,0.73,0.04,6.125,0.719753086,0.491197183
1/2/2014,46.21,7.68,4.63,7.99,20.88,1.09,3.68,0.64,1.13,0.12,6.016927083,0.579474343,0.479166667
1/3/2014,34.84,6.69,6.57,7.08,21.53,0.77,3.9,0.5,1.17,0.07,5.207772795,0.927966102,0.582959641
1/4/2014,39.84,5.93,28.18,16.23,15.97,2.24,4.12,0.43,0.71,0.09,6.718381113,1.736290819,0.694772344
1/5/2014,31.62,6.07,0.87,0.98,17.08,-0.07,3.13,0.38,0.6,0.08,5.2092257,0.887755102,0.515650741
1/6/2014,23.44,6.06,26.07,23.72,18.05,2.85,2.94,0.43,0.96,0.14,3.867986799,1.099072513,0.485148515
1/7/2014,36.98,7.57,21.68,22.91,18.2,9.95,3.73,0.7,1.82,0.16,4.885072655,0.946311654,0.492734478
1/8/2014,14.89,4.39,12.49,10.49,8.32,1.79,1.61,0.36,0.51,0,3.391799544,1.190657769,0.366742597
1/9/2014,11.11,3.62,14.5,6.99,8.19,0.6,1.34,0.21,0.29,0.03,3.069060773,2.074391989,0.370165746
1/10/2014,25.27,7.14,20.79,17.63,15.03,5.35,2.71,0.56,0.89,0.08,3.539215686,1.179239932,0.379551821
1/11/2014,37.15,7.24,23.46,28.59,20.41,7.09,3.62,0.69,1.36,0.11,5.13121547,0.820566632,0.5
1/12/2014,11.52,3.98,12.25,7.12,6.86,0.91,1.23,0.13,0.32,0.03,2.894472362,1.720505618,0.309045226
1/13/2014,9.12,2.7,11.42,5.43,6.21,0.65,0.97,0.36,0.22,0.04,3.377777778,2.103130755,0.359259259
1/14/2014,12.08,4,13.03,7.46,7.42,0.51,1,0.1,0.21,0.02,3.02,1.746648794,0.25
1/15/2014,25.52,8.2,19.05,13.54,13.5,5.2,2.01,0.32,0.78,0.03,3.112195122,1.406942393,0.245121951
1/16/2014,45.23,10.4,24.82,22.03,18.22,6.48,3.02,0.87,1.2,0.07,4.349038462,1.126645483,0.290384615
1/17/2014,22.53,6.66,20.7,11.45,12.08,1.14,2.03,0.42,0.52,0.01,3.382882883,1.807860262,0.304804805
1/18/2014,22.15,4.74,17.93,12.47,11.44,0.57,1.94,0.18,0.27,0.06,4.672995781,1.437850842,0.4092827
1/20/2014,24.49,6.3,22.6,15.84,14.15,0.63,2.6,0.46,0.34,0.1,3.887301587,1.426767677,0.412698413
1/21/2014,16.95,4.35,10.65,8.92,6.65,0.36,1.49,0.53,0.2,0.09,3.896551724,1.193946188,0.342528736
1/22/2014,30.78,6.01,7.72,11.92,7.44,3.88,1.91,0.82,0.46,0.06,5.121464226,0.647651007,0.317803661
1/23/2014,24.26,5.25,12.02,21.55,12.34,1.62,1.79,0.38,0.59,0.1,4.620952381,0.557772622,0.340952381
1/24/2014,30.9,5.87,-0.09,-0.1,-0.07,-0.14,-0.05,-0.26,-0.06,-0.04,5.264054514,0.9,-0.008517888
1/25/2014,28.43,6.1,10.78,21.08,12.87,4.31,1.87,0.31,0.59,0.06,4.660655738,0.511385199,0.306557377
1/26/2014,19.8,4.76,13.12,19.02,12.07,1.26,1.78,0.21,0.47,0.1,4.159663866,0.68980021,0.37394958
1/28/2014,16.87,4.44,15.52,19.03,13.07,1.37,1.47,0.07,0.83,0.12,3.79954955,0.815554388,0.331081081
