Start,End
2013/8/12 6:00,2013/8/12 18:00
2013/8/12 18:00,2013/8/13 6:00
2013/8/13 18:00,2013/8/14 6:00
2013/8/14 6:15,2013/8/14 17:50
2013/8/14 18:00,2013/8/15 6:00
2013/8/15 6:30,2013/8/15 18:10
2013/8/15 18:30,2013/8/16 6:30
2013/8/16 6:40,2013/8/16 18:00
2013/8/16 18:00,2013/8/17 6:00
2013/8/17 6:00,2013/8/17 18:00
2013/8/17 18:00,2013/8/18 6:00
2013/8/18 6:20,2013/8/18 18:00
2013/8/18 18:00,2013/8/19 6:23
2013/8/19 6:30,2013/8/19 18:00
2013/8/21 6:22,2013/8/21 18:00
2013/8/21 18:32,2013/8/22 6:00
2013/8/22 6:30,2013/8/22 17:58
2013/8/22 18:00,2013/8/23 6:24
2013/8/23 7:01,2013/8/23 17:30
2013/8/23 18:09,2013/8/24 6:04
2013/8/24 6:35,2013/8/24 17:30
2013/8/24 17:54,2013/8/25 17:37
2013/8/25 18:09,2013/8/26 10:47
2013/8/27 5:52,2013/8/27 17:00
2013/8/27 17:30,2013/8/28 6:00
2013/8/28 6:00,2013/8/28 17:02
2013/8/28 17:24,2013/8/29 5:18
2013/8/29 5:37,2013/8/30 5:15
2013/8/30 5:36,2013/8/30 16:26
2013/8/30 16:50,2013/8/31 5:23
2013/8/31 5:58,2013/8/31 14:56
2013/9/2 5:56,2013/9/2 16:00
2013/9/2 16:30,2013/9/3 5:43
2013/9/3 6:07,2013/9/4 6:00
2013/9/4 6:07,2013/9/5 5:32
2013/9/5 6:12,2013/9/6 5:31
2013/9/8 6:54,2013/9/9 6:59
2013/9/9 7:25,2013/9/10 6:48
2013/9/10 7:23,2013/9/11 6:53
2013/10/10 7:23,2013/10/11 7:23
